close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$310.49 ,310.49,$310.80 ,310.8,$305.55 ,305.554,$308.45 ,308.45,0.734290342,0.73%,308.45,$308.45 ,310.49,$310.49 ,310.8,$310.80 ,305.554,$305.55 ,2180521,0.0133,0.01%,2180521,10/16/13,16-Oct-13,4.09
$310.77 ,310.77,$311.00 ,311,$305.24 ,305.24,$307.07 ,307.07,0.735854326,0.74%,307.07,$307.07 ,310.77,$310.77 ,311,$311.00 ,305.24,$305.24 ,2648384,0.0009,0.00%,2648384,10/17/13,17-Oct-13,0.28
$328.93 ,328.931,$331.89 ,331.89,$316.75 ,316.75,$319.36 ,319.36,0.837295425,0.84%,319.36,$319.36 ,328.931,$328.93 ,331.89,$331.89 ,316.75,$316.75 ,5969814,0.0584,0.06%,5969814,10/18/13,18-Oct-13,18.161
$326.44 ,326.44,$330.00 ,330,$323.80 ,323.8,$329.89 ,329.89,0.823381556,0.82%,329.89,$329.89 ,326.44,$326.44 ,330,$330.00 ,323.8,$323.80 ,2527617,-0.0076,-0.01%,2527617,10/21/13,21-Oct-13,-2.491
$332.54 ,332.54,$337.11 ,337.11,$325.68 ,325.68,$327.72 ,327.72,0.857454058,0.86%,327.72,$327.72 ,332.54,$332.54 ,337.11,$337.11 ,325.68,$325.68 ,3942953,0.0187,0.02%,3942953,10/22/13,22-Oct-13,6.1
$326.76 ,326.756,$331.72 ,331.72,$324.06 ,324.0601,$330.84 ,330.84,0.825146623,0.83%,330.84,$330.84 ,326.756,$326.76 ,331.72,$331.72 ,324.0601,$324.06 ,2818158,-0.0174,-0.02%,2818158,10/23/13,23-Oct-13,-5.784
$332.21 ,332.21,$332.65 ,332.6499,$326.75 ,326.75,$329.64 ,329.64,0.855610791,0.86%,329.64,$329.64 ,332.21,$332.21 ,332.6499,$332.65 ,326.75,$326.75 ,5884655,0.0167,0.02%,5884655,10/24/13,24-Oct-13,5.454
$363.39 ,363.39,$368.40 ,368.4,$352.62 ,352.62,$358.08 ,358.08,1.029771547,1.03%,358.08,$358.08 ,363.39,$363.39 ,368.4,$368.40 ,352.62,$352.62 ,12043903,0.0939,0.09%,12043903,10/25/13,25-Oct-13,31.18
$358.16 ,358.16,$362.75 ,362.75,$357.20 ,357.2,$359.92 ,359.92,1.000558566,1.00%,359.92,$359.92 ,358.16,$358.16 ,362.75,$362.75 ,357.2,$357.20 ,3635848,-0.0144,-0.01%,3635848,10/28/13,28-Oct-13,-5.23
$362.70 ,362.7,$362.89 ,362.89,$356.29 ,356.29,$358.95 ,358.95,1.025917444,1.03%,358.95,$358.95 ,362.7,$362.70 ,362.89,$362.89 ,356.29,$356.29 ,2190763,0.0127,0.01%,2190763,10/29/13,29-Oct-13,4.54
$361.08 ,361.08,$365.00 ,365,$358.65 ,358.65,$362.62 ,362.62,1.016868681,1.02%,362.62,$362.62 ,361.08,$361.08 ,365,$365.00 ,358.65,$358.65 ,4505005,-0.0045,0.00%,4505005,10/30/13,30-Oct-13,-1.62
$364.03 ,364.03,$366.00 ,366,$359.00 ,359,$361.89 ,361.89,1.033346367,1.03%,361.89,$361.89 ,364.03,$364.03 ,366,$366.00 ,359,$359.00 ,2466937,0.0082,0.01%,2466937,10/31/13,31-Oct-13,2.95
$359.00 ,359.002,$365.77 ,365.77,$356.10 ,356.1,$365.53 ,365.53,1.005261688,1.01%,365.53,$365.53 ,359.002,$359.00 ,365.77,$365.77 ,356.1,$356.10 ,3332126,-0.0138,-0.01%,3332126,11/1/13,1-Nov-13,-5.028
$358.74 ,358.74,$361.00 ,361,$354.40 ,354.4,$360.12 ,360.12,1.003798246,1.00%,360.12,$360.12 ,358.74,$358.74 ,361,$361.00 ,354.4,$354.40 ,1940496,-0.0007,0.00%,1940496,11/4/13,4-Nov-13,-0.262
